Depth,qc,fs,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
0.06,1.2992,0.0196,1.2992,0.0196,0.0016,67.69090472183059,82.40631879179377,152.22653115463015,51.394145842780574,54.524189216948514,30.25314091380276,78.93443660232406,2.5448229888419225,72.0
0.08,1.3938,0.021,1.3938,0.021,0.0002,71.45512493681531,86.98884774916648,160.8584334080861,56.29483401643317,60.05730503000634,33.295528061633604,85.70321496916638,2.5194547539522607,72.0
0.1,1.4812,0.0226,1.4812,0.0226,-0.0004,74.73271753341187,90.97896047545794,168.30575611023937,60.66587811508596,65.28845350015325,35.95648226431452,91.59175779218606,2.5008043532820152,72.0
0.12,1.5669,0.0243,1.5669,0.0243,-0.0002,77.70133559594316,94.5929302907134,175.097187723103,64.68151490956541,70.27477071384568,38.36378730429196,96.86452022025249,2.484693287976384,72.0
0.14,1.6526,0.0273,1.6526,0.0273,0.0,80.79268213693358,98.35630868844088,181.4471318809079,68.95047506512215,76.65233075649466,40.74356931282482,102.29295720598894,2.4815460329342613,72.0
0.16,1.807,0.029,1.807,0.029,0.0002,83.87736401799285,102.11157358712173,190.24662309465052,72.79201856604706,80.91264421510493,43.04712842629663,106.71251146191122,2.4427047597022606,72.0
0.18,2.1056,0.0305,2.1056,0.0305,0.0001,87.7085754318877,106.77565704751548,204.05546125616556,76.99335854388619,84.25301455332487,45.66112333960887,110.78874933637906,2.362781311522691,72.0
0.2,2.4038,0.0338,2.4038,0.0338,0.0001,91.67699079094476,111.60677139767188,216.89592013282456,81.68930432076881,89.73740555939688,48.33409680569161,115.42454280614032,2.3086680039570697,72.0
0.22,2.702,0.0365,2.702,0.0365,0.0,95.186096092849,115.87872567825096,228.9533483959763,85.94672162920618,94.36584347203528,50.797732371895606,119.53228939121516,2.2574986141356974,72.0
0.24,2.9657,0.0384,2.9657,0.0384,0.0001,98.0724415026777,119.39253748152068,239.29807866165672,89.60687838278022,98.04414997396336,52.96663210485456,123.0863802742883,2.214095074007804,72.0
0.26,3.2964,0.0389,3.2964,0.0389,0.0004,100.67980728471248,122.56672191182388,251.14550669432063,92.80787280298304,99.79743811384128,55.04830828936592,125.91427114799431,2.153140799466287,72.0
0.28,3.6022,0.0393,3.6022,0.0393,0.0004,102.9447662763541,125.3240632929528,261.7150167937606,95.74391616091307,101.44720369989076,56.96500026759576,128.5524537791963,2.1018632642257487,72.0
0.3,3.8222,0.0414,3.8222,0.0414,0.0,105.25273564796233,128.1337651366498,269.53928900218574,98.99251277587818,105.28461569048297,58.81954909298319,131.76212684950843,2.0794417372551584,72.0
0.32,4.0027,0.0462,4.0027,0.0462,0.0,108.0965395286284,131.5957872522433,276.0908805741021,103.09042638968975,112.32761035345722,60.83501771971035,135.9012869009138,2.0804246933498,72.0
0.34,4.199,0.0487,4.199,0.0487,0.0003,110.2611892548779,134.23101300593834,282.88275133680287,106.26255079819256,116.55230641668268,62.570103256799854,138.99973294180367,2.065392670792313,72.0
0.36,4.222,0.0501,4.222,0.0501,0.0001,111.5008840409136,135.74020665850352,285.0801073754019,108.4561006418743,119.88502690441318,63.77215227612778,141.550701945913,2.0697978577807783,72.0
0.38,4.245,0.0496,4.245,0.0496,0.0,112.19492057634338,136.58512070163542,287.2044784617866,109.8743032203426,120.9403560775238,64.73468365523684,143.31904916956665,2.0638123119442064,72.0
0.4,4.2635,0.0476,4.2635,0.0476,-0.0002,112.41894142770391,136.85784173807434,289.14436765063374,110.62074184497024,120.10867069814228,65.48143981442257,144.42092006889757,2.0501092991595664,72.0
0.42,4.0735,0.0475,4.0735,0.0475,-0.0004,112.43269230701236,136.87458193897157,285.52613008480824,111.40538570372412,122.01101347890544,65.92984384420777,146.12541455740126,2.0774631976007103,72.0
0.44,3.8776,0.0479,3.8776,0.0479,-0.0003,112.48147716929446,136.93397220609762,281.4951035424699,112.28106259847232,124.5371298689976,66.36186575464076,147.96270609880057,2.109900638682014,72.0
0.46,3.7269,0.047,3.7269,0.047,-0.0002,112.2686655305899,136.67489716767466,278.48863407135684,112.69502188522596,125.27077472803816,66.69951822299832,149.22382971530106,2.129068678604267,72.0
0.48,3.577,0.0454,3.577,0.0454,-0.0005,111.80010911740258,136.10448066466404,275.30920346151004,112.73076422966152,125.01617486134408,66.90294727622704,150.1160365825708,2.144932798881642,72.0
0.5,3.4672,0.0451,3.4672,0.0451,-0.0004,111.8104099885572,136.11702085563488,273.15256401498124,113.38065154314636,126.28019224618474,67.32635425696829,151.50883569343767,2.1622680365360765,81.0
0.52,3.2864,0.0442,3.2864,0.0442,0.001,111.27719323909064,135.46788742150167,268.68046121262563,113.434195122565,126.92912605144906,67.42866195022968,152.55878718428497,2.1895638314630137,81.0
0.54,3.0205,0.0431,3.0205,0.0431,0.0,110.15379471426026,134.10027182605597,261.12018900967496,112.94101360543016,127.57540791498906,67.17632706148139,153.42283558452868,2.234555788898105,81.0
0.56,2.8375,0.0421,2.8375,0.0421,0.0,109.3635637852532,133.1382515646561,255.87948584885945,112.7231564117382,128.0321934899407,67.12005037696939,154.2977965413725,2.2665808671509686,81.0
0.58,2.6914,0.0378,2.6914,0.0378,0.0001,107.73971491563002,131.16139207120176,251.63845110462515,111.01004501462393,123.33053989536168,66.66524696687812,153.44855771652345,2.270469810104208,81.0
0.6,2.6034,0.0355,2.6034,0.0355,0.0,106.95437929808152,130.20533131940363,249.29694132603905,110.3743655738375,121.14774911780236,66.62706976859467,153.47467073518712,2.274500366993901,81.0
0.62,2.57,0.0337,2.57,0.0337,0.0,106.6101514325226,129.78627130915797,248.87689661827685,110.17092057969464,119.3820662352053,66.82306076961855,153.69517900078858,2.269047136787889,81.0
0.64,2.5586,0.0313,2.5586,0.0313,0.0001,106.155608699873,129.23291493897582,249.2383159188897,109.6684537559304,116.39657400195333,66.96045264138647,153.4487201204687,2.253031515899764,81.0
0.66,2.5688,0.0304,2.5688,0.0304,0.0001,106.31086117059392,129.42191794680997,250.3789916929186,110.04316412460794,115.72171102934908,67.41099021879009,154.0671117783938,2.243353977713472,81.0
0.68,2.5967,0.0296,2.5967,0.0296,-0.0002,106.58767921836264,129.75891383105017,252.1537823747637,110.52837533204602,115.09966698737767,67.9280658346773,154.7102735130258,2.230234761149536,81.0
0.7,2.691,0.0302,2.691,0.0302,0.0001,107.75371612250842,131.17843701870592,256.35257258998496,112.14560930021422,116.6334792631702,68.94507158801274,156.2974251453778,2.213611019873599,81.0
0.72,2.8633,0.0305,2.8633,0.0305,0.0001,109.20744367370064,132.94819229841818,263.2357321034984,113.9346658574232,117.38120660363174,70.16846411363785,157.69018796047544,2.178440989688226,81.0
0.74,3.1238,0.0304,3.1238,0.0304,0.0001,110.86520203791989,134.96633291572854,272.87799372841846,115.83342867055,117.1921765024377,71.57759998533669,158.82161291929611,2.1248276477136154,81.0
0.76,3.4507,0.0316,3.4507,0.0316,0.0004,113.17042890711402,137.77269606083445,284.2055316660976,118.69964347953672,119.06413063607869,73.38658302891882,160.82198872706223,2.074061154623054,81.0
0.78,3.7329,0.033,3.7329,0.033,0.0002,115.21497527226268,140.26170902710243,293.620354761438,121.40850670664425,121.4033972047202,75.02939677614037,162.89195854466348,2.037195916307336,81.0
