Depth,qc,fs,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
1.5,2.0119,0.0187,2.0119,0.0187,0.0022,108.42214540008476,131.99217700879885,247.3894856314159,120.32320555638948,116.20411770184754,78.53321312246926,177.70389217847577,2.2788738630720053,261.0
1.51,1.2685,0.0215,1.2685,0.0215,0.0029,101.7579731713833,123.87927168690142,207.57541355690003,93.12865164352549,102.2354171491359,74.47999424818856,180.64347219708827,2.593260172781401,261.0
1.52,0.9586,0.0243,0.9586,0.0243,0.0027,97.6946301509576,118.93259322725272,186.6385881031513,91.96416976175684,110.65615758390916,72.39881374158864,183.4674883974141,2.797213244943398,261.0
1.53,0.9432,0.0219,0.9432,0.0219,0.0027,96.64418659402878,117.6537923753394,185.6084197177642,90.42134358559088,105.9182522903376,71.74007863408563,181.28275405825104,2.7812207256917563,261.0
1.54,0.9691,0.0245,0.9691,0.0245,0.0025,98.13063772668256,119.46338505857008,187.6570523704352,92.50112130861744,111.33032377484834,72.82599816952762,184.2863703301495,2.792748105743389,261.0
1.55,0.995,0.0272,0.995,0.0272,0.0023,99.5761684438874,121.22316158386296,189.6758856511561,94.53322306643472,116.71740582562892,73.8730070731147,187.150729097537,2.803235737204853,261.0
1.56,1.0504,0.0274,1.0504,0.0274,0.0015,100.75601628424216,122.65949808516436,193.75625011217477,95.40968891839452,116.75711277590976,74.6302397421244,187.7093374707438,2.771546128357094,261.0
1.57,1.1817,0.0276,1.1817,0.0276,0.0014,103.15717926684265,125.58265302050408,202.7984640558831,97.02088812951185,116.1540137754142,76.08769400495389,188.3549776088217,2.700301246881629,261.0
1.58,1.2666,0.0281,1.2666,0.0281,0.0015,104.73193831269984,127.49975098937372,208.3762196339077,98.26625041953248,116.61167660220885,77.1022769066042,189.1957394476493,2.661957888182787,261.0
1.59,1.2048,0.0319,1.2048,0.0319,0.0015,105.01969855777394,127.85006780946392,204.56068127958935,99.9179197284652,124.44252530923544,77.49480759609206,192.5771642678447,2.7261058976069705,261.0
1.6,1.2077,0.037,1.2077,0.037,0.0021,106.54305037885612,129.70458306991182,204.88155397943603,102.65190562278296,133.74146200117397,78.61873051530365,196.64134326714844,2.7641665786248883,261.0
1.61,1.2106,0.0382,1.2106,0.0382,0.0025,106.9815824967051,130.2384482568584,205.1997143201129,103.41710913946424,136.01960765950642,78.9912110218246,197.77397581912237,2.771353913733581,261.0
1.62,1.3323,0.0395,1.3323,0.0395,0.0015,109.33736763501004,133.10636059914268,212.9665171249214,105.35057690320508,137.26454335498045,80.44948124188089,199.08875535643224,2.7208655853503463,261.0
1.63,1.7725,0.044,1.7725,0.044,0.0009,116.38974983846894,141.69186936857088,237.6416206018728,111.11494954821192,141.15290038137664,84.72449097941715,202.6429996216055,2.572926182538301,261.0
1.64,1.9926,0.0484,1.9926,0.0484,0.0008,119.98616976670486,146.07011971598854,248.6573907228767,114.70398192767298,146.58561196498422,86.99675946570983,205.66522021374595,2.5266438442076944,261.0
1.65,2.2861,0.0475,2.2861,0.0475,0.0007,122.63862485809932,149.29919547942526,262.21423076305905,116.34267499731918,143.6452677634123,88.74699186772182,205.68881075798103,2.4364303713137163,261.0
1.66,2.4289,0.0476,2.4289,0.0476,0.0006,123.96850961909529,150.91818562324644,268.5138432392524,117.39925328686766,143.24197397151104,89.69086985504633,206.1522299054353,2.399594318251604,261.0
1.67,2.4907,0.0465,2.4907,0.0465,0.0009,124.25596256255916,151.26812833702857,271.266433507496,117.46399832167596,141.53173206879325,89.99158099259311,205.87740475799785,2.377698686475641,261.0
1.68,1.5408,0.0453,1.5408,0.0453,0.0011,114.27031838575118,139.111691947871,225.9361953199941,110.84890967261006,146.33719665368048,83.93544880306182,204.75998654672188,2.668312229876863,261.0
1.69,1.4346,0.0394,1.4346,0.0394,0.0025,111.41940971379672,135.64102052114384,219.9979692627434,107.49030751909464,137.8296665357205,82.25565259997288,201.2748022519821,2.674601408907724,261.0
1.7,1.3284,0.0276,1.3284,0.0276,0.0021,106.47243618374554,129.61861796282068,213.7512964847898,100.54227070950306,117.57137906772904,79.11110193096793,192.350866389078,2.6287863829010543,261.0
1.71,1.3388,0.016,1.3388,0.016,0.0025,101.79995248301722,123.93037693584706,214.51705619162468,92.69798269516863,92.96065600357484,75.8192984453543,179.46553803439642,2.4920904869427365,261.0
1.72,1.3493,0.0113,1.3493,0.0113,0.0036,99.17945836978714,120.74021018930608,215.29230359595263,88.5594539766271,81.26614195142017,73.8645181344047,171.79536923015118,2.4116192966817795,261.0
1.73,1.3808,0.0111,1.3808,0.0111,0.0032,99.49586023278384,121.12539506599776,217.31891842165092,88.72999482361004,80.73899767063735,74.11997753284471,171.677892975321,2.3941551846053666,261.0
1.74,1.4481,0.0112,1.4481,0.0112,0.0031,100.42508421147426,122.25662425744692,221.42978540812288,89.49914712164266,80.91180344232295,74.80499558178174,172.1896199468854,2.3675119861886094,261.0
1.75,1.5871,0.0113,1.5871,0.0113,0.003,102.0709647250491,124.26030488266846,229.4467923311155,90.795783598585,80.90793781704807,75.97573835041939,172.75596472418297,2.3145239712257952,261.0
1.76,1.8536,0.0118,1.8536,0.0118,0.0031,105.00933816732484,127.83745516022157,243.59750705214637,93.2940311530489,81.67659795010574,78.09637186492512,174.18166589036613,2.2307424081766496,261.0
1.77,0.9345,0.0121,0.9345,0.0121,0.0032,93.81958872045688,114.2151514857736,187.6459486746772,85.80429020372767,85.79369460086176,71.02136202679579,174.11708060751582,2.6499235088318653,261.0
1.78,0.4885,0.0125,0.4885,0.0125,0.0034,82.94198867122923,100.97285577367036,146.57311219033065,79.47446843936795,91.10889256124922,64.96427745860179,174.2657001448305,3.062896967319866,261.0
1.79,0.2906,0.0136,0.2906,0.0136,0.0034,74.83526347832134,91.10379901708686,120.29445913923576,75.37220589718038,98.68286930445193,60.800795690128346,175.75998945204873,3.422842208319204,261.0
1.8,0.0927,0.0147,0.0927,0.0147,0.0044,58.85652467654149,71.65142134535486,77.95011717380874,64.81623664196614,115.05997030006776,51.9912668607857,176.29960641612564,4.301248034174445,261.0
