Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
0.06,4.1445,0.0343,0.0001,85.18103344326381,103.69864940919074,237.05895537463726,65.2863294355629,64.62067599506996,37.453229458175414,85.62282472018123,1.981505992568334
0.08,4.9959,0.0386,0.0002,91.37982217819076,111.24500091258007,261.9524700052275,73.11391129325615,72.16854650273956,42.088549973401385,93.64133861781971,1.898079450308178
0.1,5.8567,0.0456,-0.0006,97.45216674848734,118.63742038946286,284.563799981493,81.00334946851224,81.38445060352201,46.45729657078744,101.36915283143365,1.844525605478103
0.12,6.6501,0.056,0.0004,103.64419323841811,126.17553959459596,304.1633270020596,89.19046316110749,93.03964864900573,50.631066205276255,109.13045920949679,1.821980694044703
0.14,7.2971,0.0622,0.0008,108.06587534451033,131.55845694114302,319.99344388346265,95.53217828859201,101.09858831760673,54.028095861213345,115.10924639268279,1.7941868485880677
0.16,7.8726,0.0644,0.0006,111.09883435944252,135.2507548723648,333.79028161901215,100.34804949134137,105.72973910701255,56.85147331034473,119.67089756013708,1.757467994459193
0.18,8.595,0.0629,0.0078,113.05797923219232,137.63580080440803,349.2693517132788,104.03491506489367,106.837169636352,59.37491349091664,122.99337038265665,1.6969827484408646
0.2,9.1884,0.0751,0.0021,118.18961636428531,143.88301122608647,362.00859773006175,111.195932902713,119.34295909542449,62.64534728838458,129.32470943997762,1.7064367614313363
0.22,9.6526,0.091,0.002,123.65257896671027,150.53357439425596,372.38464127124405,118.80347504192882,134.69651362346923,65.8264666821276,135.8796571992106,1.7326496881825884
0.24,9.9053,0.0805,-0.0032,122.80662011528337,149.5037114446928,379.30030288011005,119.09168733635522,128.80912740951192,67.00428010648221,136.73386326857593,1.680678640621261
0.26,10.3299,0.0648,-0.0036,120.10234464617288,146.21155000403655,388.4956369175497,117.43440686886365,117.26189044218572,67.69724267443783,135.69288445972336,1.5931690491707915
0.28,10.9356,0.0774,0.0156,125.06932715768589,152.2583113224002,400.0822144649923,124.37788153988079,130.0575176757056,70.71093700549132,141.55150707584002,1.60814470976989
0.3,10.9187,0.0896,0.0017,129.2009018235533,157.28805439389097,402.50427875446957,130.08611114052584,142.99724138614667,72.94503064188808,146.80942544801226,1.6524150384707854
0.32,10.427,0.1096,0.015,134.20393487599185,163.37870332729446,398.09826768473835,136.83788224573698,162.96216293980058,75.01856332743169,153.1342907185895,1.7416703930659636
0.34,9.482,0.1123,0.0108,134.72554444137438,164.0137062764558,386.20233114565445,138.21413378232805,169.36123751905393,75.40915505998902,155.88429004438592,1.8077030992017125
0.36,8.867,0.1162,0.0023,135.5861201721994,165.06136368789493,378.517597822222,140.17809060514335,176.34566590658028,76.09600775647569,158.7795739926488,1.8598042406235684
0.38,8.3397,0.1048,0.0252,133.62074933728152,162.66873832364706,371.90481788460545,138.36651341063853,169.88003362536665,75.91599892864687,158.74808142695048,1.8648141450430238
0.4,7.7263,0.0931,0.0073,131.16550134405995,159.6797407666817,362.9261408707585,135.8565109752923,162.612375567092,75.41907990004626,158.2761148840942,1.8763310683428251
0.42,7.0267,0.0892,-0.002,129.90845537305506,158.14942393241486,351.62863750366046,134.99329202608078,162.39852488406805,75.14387934219792,159.24111777284986,1.9221747185400844
