File Name,Layer,Start Depth,End Depth,Depth,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean)
SCPT_114319_AGS01_result_layers_stats.csv,1,0.06,1.44,0.75,152,1.38,3.0365503101377778,0.0166197245349308,0.0002776918379443,101.28015206664338,123.29757642895709,264.6115120492774,98.79083149343424,86.04081023105601,64.10953972811367,139.5072083454863,2.0020986919833947
SCPT_114319_AGS01_result_layers_stats.csv,2,1.45,2.44,1.9449999999999998,152,0.99,5.163846256040388,0.029651798490417,0.0006689278924871,131.82883318780543,160.48727518515477,363.4284589609852,142.0455182144145,129.57663671581994,100.14493866026156,202.33183142253552,1.814911112720089
SCPT_114319_AGS01_result_layers_stats.csv,3,2.45,3.77,3.1100000000000003,176,1.3199999999999998,10.760856155208696,0.048411623374123,0.0014431419077145,158.30670629457282,192.7212076629581,504.15282194136256,180.23701213439415,163.43643072589796,132.22363758159713,244.37584246033984,1.5134929973817652
SCPT_114319_AGS01_result_layers_stats.csv,4,3.78,4.77,4.2749999999999995,200,0.9899999999999998,19.02732429757059,0.0378964377514946,0.0025999999999999,166.1523106018389,202.2723781239779,646.9940716329338,188.8073824426479,142.1981048422677,153.88480953121862,258.0003302657284,1.1935669513628586
SCPT_114319_AGS01_result_layers_stats.csv,5,4.78,6.46,5.62,237,1.6799999999999995,11.471898685315884,0.0174246830284008,,159.32241413087297,193.95772155062804,547.7074143169722,170.53139921459626,120.52705943349996,144.67406442488155,248.89659876484583,1.368008740167653
SCPT_114319_AGS01_result_layers_stats.csv,6,6.47,7.64,7.055,191,1.17,6.029848648830799,0.0255836981761539,,163.6250579064163,199.1957226686806,438.09965422702174,169.91332192093245,143.41296928847672,145.13897664789852,276.00100615703576,1.804515897517284
SCPT_114319_AGS01_result_layers_stats.csv,7,7.65,8.64,8.145,212,0.9900000000000002,10.133945101046471,0.0268229496778119,,177.44986730747232,216.02592541779245,542.0630074813915,183.6213368128977,141.80527644209909,163.44355184234064,289.1310480664107,1.544007086895423
SCPT_114319_AGS01_result_layers_stats.csv,8,8.65,9.64,9.145,216,0.9900000000000002,4.467284949485353,0.0262633726920663,,167.76146217196492,204.23134525282657,400.7703002772571,169.33933786041996,152.61452222223275,149.75422083622857,295.1279459640098,2.03902406188271
SCPT_114319_AGS01_result_layers_stats.csv,9,9.65,10.64,10.145,195,0.9900000000000002,5.673724615082844,0.0191431270043108,,171.9846453687247,209.37261175322996,443.78772620314027,167.9480596770182,133.29049376810403,155.40718075592778,291.29787295374007,1.862031896723187
SCPT_114319_AGS01_result_layers_stats.csv,10,10.65,12.33,11.49,199,1.6799999999999995,4.07643703940311,0.0371567967704642,,179.08077224847284,218.0113749111844,395.8707274044542,177.8537201311866,176.93069600224285,162.05834138070233,326.8455478032965,2.209149356417303
SCPT_114319_AGS01_result_layers_stats.csv,11,12.34,13.33,12.835,201,0.9900000000000002,2.65860160533667,0.0519278197771741,,179.10130873188095,218.0363758475073,339.9543651138337,176.5802939436087,207.9576382585564,161.60306932458204,350.02620247182176,2.618873236148384
SCPT_114319_AGS01_result_layers_stats.csv,12,13.34,14.33,13.835,174,0.9900000000000002,1.461904731642238,0.0276071597520375,,157.7584095336976,192.0537159540669,272.4633431383457,147.11894667944225,165.68440102599035,143.66034018532346,327.157427075431,2.923417238620292
SCPT_114319_AGS01_result_layers_stats.csv,13,14.34,15.95,15.145,201,1.6099999999999994,2.437016485013071,0.0386216768969499,0.0010093779333124,179.46799819049787,218.48278040582335,334.4867312147867,166.19698734053355,182.1257525436354,163.03831534739444,350.9669781158314,2.662992914120661
SCPT_114319_AGS01_result_layers_stats.csv,14,15.96,17.02,16.490000000000002,225,1.0599999999999987,5.946313233618126,0.0532616376933441,0.0068177004471484,214.15232979839303,260.7071841023912,474.4491799023461,199.03533521280607,197.5155707863422,194.9701227466801,376.4095395290119,2.1702339012893543
SCPT_114319_AGS01_result_layers_stats.csv,15,17.03,18.24,17.634999999999998,220,1.2099999999999973,3.6026578780866507,0.0625295974565967,0.0066499366475496,207.00775705132247,252.00944336682724,394.48120827400254,188.6824704009818,215.4550882316934,187.2901517450691,389.476243904297,2.5736349760234525
SCPT_114319_AGS01_result_layers_stats.csv,16,18.25,20.0,19.125,221,1.75,4.3302537054290005,0.0598165689425503,0.00591460119408,215.70431078663745,262.59655226199345,426.5815109027067,192.58412499311584,208.8984693047261,195.972214986854,395.7884524222138,2.4591661972813017
