File Name,Depth,qc,fs,Measure Vs,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
SCPT_114319_AGS01_result.csv,0.06,2.6188,0.0071,152,2.6188,0.0071,-0.0003,69.53862040569204,84.65571179823381,198.92603025251023,48.90850726216097,36.47960292686296,30.76132579748309,69.5327753611161,1.9352279755714876
SCPT_114319_AGS01_result.csv,0.07,2.9512,0.0143,152,2.9512,0.0143,-0.0003,76.14985968185094,92.70417700399246,211.41907417974303,55.89860222375368,47.03242974245775,34.62005661265422,79.25765785770807,1.987930320191708
SCPT_114319_AGS01_result.csv,0.08,3.0998,0.0131,152,3.0998,0.0131,0.0011,77.28786184793647,94.08957094531397,218.29837275160213,57.62280521511724,47.14541459431018,35.922156944962865,81.08166527164843,1.9423272904363589
SCPT_114319_AGS01_result.csv,0.09,3.3971,0.0159,152,3.3971,0.0159,-0.0005,80.71625700160686,98.26326939326054,228.71353143890232,61.60145717231132,51.82098111036597,38.22018647776653,85.72252168212634,1.9267614235922517
SCPT_114319_AGS01_result.csv,0.1,3.4831,0.0163,152,3.4831,0.0163,-0.0007,82.21259825989497,100.08490222943736,233.32843831075945,63.72741840524131,53.68347958112329,39.579699263472655,88.33945019151426,1.9171366664623852
SCPT_114319_AGS01_result.csv,0.11,3.6826,0.0175,152,3.6826,0.0175,-0.0005,84.30247406639494,102.62909886343732,240.6067244260339,66.41102997521945,56.32649127367503,41.21197261368272,91.37272872759084,1.8988914184351509
SCPT_114319_AGS01_result.csv,0.12,3.753,0.0177,152,3.753,0.0177,-0.0005,85.49463089105761,104.08042021520058,244.45025055238168,68.20172926811391,57.80640480151265,42.376248216861015,93.5576999969236,1.8901103326169049
SCPT_114319_AGS01_result.csv,0.13,3.8899,0.0179,152,3.8899,0.0179,-0.0005,86.78565099664716,105.65209686548351,249.79052574632905,70.0603387715191,59.161972372278576,43.59453116428681,95.63654142224097,1.8713650205554744
SCPT_114319_AGS01_result.csv,0.14,3.9642,0.0186,152,3.9642,0.0186,-0.0009,88.10578110832864,107.25921178405228,253.4532809734005,71.95728749916485,61.114300042969056,44.76570119580593,97.94746091846638,1.8681700191945088
SCPT_114319_AGS01_result.csv,0.15,4.0385,0.0191,152,4.0385,0.0191,-0.0009,89.28069150139495,108.68953747995909,257.00706719744693,73.69075805377248,62.7769043734456,45.85562900460243,100.03021686118691,1.8627634154731527
SCPT_114319_AGS01_result.csv,0.16,4.1832,0.0205,152,4.1832,0.0205,-0.0007,90.99633610897892,110.77814830658303,262.1573114404473,75.99011643887904,65.44064936447062,47.199347105098326,102.64298579809468,1.8568935103083863
SCPT_114319_AGS01_result.csv,0.17,4.2575,0.0205,152,4.2575,0.0205,-0.0005,91.85148225393044,111.81919578739355,265.5161717019885,77.37002090458839,66.41644690479374,48.12341781582254,104.24304260689917,1.8464941801383248
SCPT_114319_AGS01_result.csv,0.18,4.41,0.0206,152,4.41,0.0206,-0.0005,92.88390062109924,113.07605293003388,270.6369618997405,78.92850450639385,67.40361776497156,49.16247239988399,105.85595227767392,1.8267353758259657
SCPT_114319_AGS01_result.csv,0.19,4.4843,0.0206,152,4.4843,0.0206,-0.0007,93.66464521534397,114.02652460998398,273.8307015836641,80.21246849239563,68.29375981002424,50.0272158962591,107.3271743323394,1.81688714609926
SCPT_114319_AGS01_result.csv,0.2,4.5586,0.0209,152,4.5586,0.0209,-0.0007,94.5599884676283,115.11650769972142,276.95796183107245,81.61287441300036,69.52442617353594,50.9269934312636,108.94685917529856,1.8102492717807
SCPT_114319_AGS01_result.csv,0.21,4.6916,0.021,152,4.6916,0.021,-0.0007,95.44621997502966,116.1953982304709,281.3731971138619,83.00434425294556,70.42481884014549,51.85721738566436,110.3919793824859,1.794279446838413
SCPT_114319_AGS01_result.csv,0.22,4.7542,0.0212,152,4.7542,0.0212,-0.0005,96.21725179172591,117.13404565949244,284.1078889502286,84.25739349974845,71.48167444151285,52.67400700988026,111.8476152331968,1.788461691651099
SCPT_114319_AGS01_result.csv,0.23,4.8989,0.0216,152,4.8989,0.0216,-0.0007,97.21473649315334,118.34837486123016,288.64718227682584,85.7698355369588,72.70158348471972,53.6428714901524,113.41294162752295,1.7747122988253965
SCPT_114319_AGS01_result.csv,0.24,4.9771,0.0219,152,4.9771,0.0219,-0.0005,98.01779331624329,119.32600925455704,291.6257736925145,87.0542041377786,73.82721788068187,54.46757079258209,114.8599332623623,1.7682837788101975
SCPT_114319_AGS01_result.csv,0.25,5.1257,0.0225,152,5.1257,0.0225,-0.0005,99.0681269638135,120.60467630377296,296.1160126525527,88.62791153726006,75.2584097283655,55.44734466390217,116.48620014187354,1.756641895144942
SCPT_114319_AGS01_result.csv,0.26,5.204,0.0229,152,5.204,0.0229,-0.0011,99.87881008072291,121.59159488088008,298.99198338055726,89.91758034420123,76.47484848680453,56.25994823531442,117.93087506437308,1.751462501983496
SCPT_114319_AGS01_result.csv,0.27,5.3526,0.0243,152,5.3526,0.0243,-0.0011,101.26554903921586,123.27979883034976,303.35649354735176,91.86649524233128,78.88784512637372,57.36613622491485,120.0093221583696,1.7476014049517532
SCPT_114319_AGS01_result.csv,0.28,5.4191,0.0249,152,5.4191,0.0249,-0.0005,102.11496253157122,124.31386742973888,305.8927001707048,93.19622408237964,80.34019340703159,58.16983251009214,121.5143906718309,1.7456044354819666
SCPT_114319_AGS01_result.csv,0.29,5.5247,0.0253,152,5.5247,0.0253,-0.0007,102.91526308775852,125.28814636770602,309.2277592594089,94.4847787614439,81.48924054215136,58.98151484337168,122.86981404834326,1.7376504691164905
SCPT_114319_AGS01_result.csv,0.3,5.5559,0.0261,152,5.5559,0.0261,-0.0005,103.772386300033,126.33160071308366,310.9363949962822,95.80561848222888,83.20067860226301,59.742491500024144,124.43595394675602,1.741203360973354
