mu,de,mr,sn,KEYGRPNAME,uc,finalCategory
Late Pliocene Ngaruru Limestone (Mangamaire Group),Limestone with aragonitic bivalves.,coquina,Neogene sedimentary rocks,Mangamaire Group,^ep,19_undifSed
Pliocene mudstone (Mangamaire Group  Mangahea Group  Te Aute Group  Hurupi Group  Tolaga Group  Moa Group  Makuri Group  Onoke Group),Massive  poorly bedded mudstone and minor alternating sandstone and mudstone.,mudstone,Neogene sedimentary rocks,Mangamaire  Mangaheia  Te Aute  Hurupi  Tolaga  Moa  Makuri and Onoke Groups,^ea,19_undifSed
Springhill Formation mudstone (Mangapurupuru Group),Fossiliferous mudstone dominated unit.,mudstone,Early Cretaceous sedimentary rocks,Mangapurupuru Group,Kns,19_undifSed
Early Miocene Whakataki Formation sandstone and mudstone (Tolaga Group),Well bedded alternating sandstone and mudstone with interbedded olistostrome deposits.,sandstone,Neogene sedimentary rocks,Tolaga Group,Miw,19_undifSed
Whangai Formation (Tinui Group),Rusty weathered mudstone with minor greensand and glauconitic sandstone.,mudstone,Late Cretaceous   Paleogene sedimentary rocks,Tinui Group,Kiw,19_undifSed
OIS1 (Holocene) river deposits,Well sorted floodplain gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Late Miocene mudstone (Tolaga Group  Te Hoe Group and Hurupi Group),Dominantly massive mudstone with minor alternating beds of sandstone and mudstone.,mudstone,Neogene sedimentary rocks,Palliser Group  Te Hoe Group and Hurupi Group,Mi,19_undifSed
OIS6 (Middle Pleistocene) river deposits,Highly weathered  poorly to moderately sorted gravel with loess  sand and silt.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,Q6a,05_alluvial
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent  shattered rock masses to unsorted angular rock fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Late Miocene mudstone (Tolaga Group and Owhanga Group),Sandy mudstone with mudstone and sandstone interbeds.,mudstone,Neogene sedimentary rocks,Palliser Group and Owhanga Group,Mi,19_undifSed
Middle Pleistocene river deposits,Undifferentiated middle Pleistocene alluvial gravels.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,mQa,05_alluvial
Whangai Formation (Tinui Group),Rusty weathered mudstone with minor greensand and glauconitic sandstone.,mudstone,Late Cretaceous   Paleogene sedimentary rocks,Tinui Group,Kiw,19_undifSed
OIS4 (Late Pleistocene) river deposits,Weathered  poorly to moderately sorted gravel with loess  sand and silt.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,05_alluvial
Whangai Formation (Tinui Group),Rusty weathered mudstone with minor greensand and glauconitic sandstone.,mudstone,Late Cretaceous   Paleogene sedimentary rocks,Tinui Group,Kiw,19_undifSed
Late Pliocene Totaranui Limestone  Otope Limestone  Pori Limestone  Ngaruru Limestone  Kumeroa Limestone (Mangamaire Group)  Pukenui Limestone (Onoke Group),Limestone.,coquina,Neogene sedimentary rocks,Mangamaire Group and Onoke Group,^ep,19_undifSed
Early Miocene Takiritini Formation sandstone (Tolaga Group),Thick sandstone  algal limestone and fossiliferous mudstone.,sandstone,Neogene sedimentary rocks,Tolaga Group,Mit,19_undifSed
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Early Pliocene Mangamahoe Limestone,Massive coarse sandy coquina limestone.,coquina,Neogene sedimentary rocks,Pliocene sediments,^er,19_undifSed
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS3 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q3a,05_alluvial
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Early Miocene Whakataki Formation sandstone and mudstone (Tolaga Group),Well bedded alternating sandstone and mudstone with interbedded olistostrome deposits.,sandstone,Neogene sedimentary rocks,Tolaga Group,Miw,19_undifSed
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS4 (Late Pleistocene) river deposits,Weathered  poorly to moderately sorted gravel with loess  sand and silt.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,05_alluvial
Late Miocene mudstone (Tolaga Group and Owhanga Group),Sandy mudstone with mudstone and sandstone interbeds.,mudstone,Neogene sedimentary rocks,Palliser Group and Owhanga Group,Mi,19_undifSed
Early Miocene Whakataki Formation sandstone and mudstone (Tolaga Group),Well bedded alternating sandstone and mudstone with interbedded olistostrome deposits.,sandstone,Neogene sedimentary rocks,Tolaga Group,Miw,19_undifSed
Taipo Formation sandstone (Pahaoa Group),Massive sandstone.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kat,19_undifSed
Pliocene mudstone (Mangamaire Group  Mangahea Group  Te Aute Group  Hurupi Group  Tolaga Group  Moa Group  Makuri Group  Onoke Group),Pebbly or muddy greensand  calcareous mudstone  well sorted sandstone  concretionary mudstone  shelly coquina limestone.,mudstone,Neogene sedimentary rocks,Mangamaire  Mangaheia  Te Aute  Hurupi  Tolaga  Moa  Makuri and Onoke Groups,^ea,19_undifSed
Weber Formation mudstone (Mangatu Group),White weathered calcareous mudstone.,mudstone,Paleogene   Neogene sedimentary rocks,Mangatu Group,Ogw,19_undifSed
OIS3 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q3a,05_alluvial
OIS4 (Late Pleistocene) river deposits,Weathered  poorly to moderately sorted gravel with loess  sand and silt.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,05_alluvial
Early Miocene Whakataki Formation sandstone and mudstone (Tolaga Group),Well bedded alternating sandstone and mudstone with interbedded olistostrome deposits.,sandstone,Neogene sedimentary rocks,Tolaga Group,Miw,19_undifSed
Pahau Terrane sandstone,Thick  poorly bedded sandstone  well bedded commonly graded sandstone and mudstone  minor volcanic rocks.,sandstone,Basement (Eastern Province) sedimentary rocks,Pahau Terrane,Ktp,19_undifSed
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS3 (Late Pleistocene) river deposits,Weathered  poorly sorted to moderately sorted gravel underlying loess covered  commonly eroded aggradational surfaces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q3a,05_alluvial
Early Miocene Whakataki Formation sandstone and mudstone (Tolaga Group),Well bedded alternating sandstone and mudstone with interbedded olistostrome deposits.,sandstone,Neogene sedimentary rocks,Tolaga Group,Miw,19_undifSed
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Wanstead Formation mudstone (Mangatu Group),Smectitic  soft to moderately hard claystone  greensand  sandstone and marl.,claystone,Paleogene sedimentary rocks,Mangatu Group,Egw,19_undifSed
Mangapokia Formation sandstone (Pahaoa Group),Highly deformed alternating sandstone and mudstone.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kam,19_undifSed
Whangai Formation (Tinui Group),Rusty weathered mudstone with minor greensand and glauconitic sandstone.,mudstone,Late Cretaceous   Paleogene sedimentary rocks,Tinui Group,Kiw,19_undifSed
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Whangai Formation (Tinui Group),Rusty weathered mudstone with minor greensand and glauconitic sandstone.,mudstone,Late Cretaceous   Paleogene sedimentary rocks,Tinui Group,Kiw,19_undifSed
Early Miocene Whakataki Formation sandstone and mudstone (Tolaga Group),Well bedded alternating sandstone and mudstone with interbedded olistostrome deposits.,sandstone,Neogene sedimentary rocks,Tolaga Group,Miw,19_undifSed
Middle Pleistocene fan  river and lake deposits,Weathered  poorly sorted loess covered fan gravel  alluvial gravel and lacustrine silt deposits  including Ahiaruhe Formation.,gravel,Middle Pleistocene river and lake deposits,Middle Pleistocene sediments,mQa,05_alluvial
Early Miocene Whakataki Formation sandstone and mudstone (Tolaga Group),Well bedded alternating sandstone and mudstone with interbedded olistostrome deposits.,sandstone,Neogene sedimentary rocks,Tolaga Group,Miw,19_undifSed
OIS1 (Holocene) river deposits,Well sorted floodplain gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
Late Miocene mudstone (Tolaga Group and Owhanga Group),Sandy mudstone with mudstone and sandstone interbeds.,mudstone,Neogene sedimentary rocks,Palliser Group and Owhanga Group,Mi,19_undifSed
OIS4 (Late Pleistocene) river deposits,Weathered  poorly to moderately sorted gravel with loess  sand and silt.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,05_alluvial
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS1 (Holocene) river deposits,Well sorted floodplain gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
Whangai Formation (Tinui Group),Rusty weathered mudstone with minor greensand and glauconitic sandstone.,mudstone,Late Cretaceous   Paleogene sedimentary rocks,Tinui Group,Kiw,19_undifSed
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Middle Pleistocene fan  river and lake deposits,Weathered  poorly sorted loess covered fan gravel  alluvial gravel and lacustrine silt deposits  including Ahiaruhe Formation.,gravel,Middle Pleistocene river and lake deposits,Middle Pleistocene sediments,mQa,05_alluvial
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Early Miocene Whakataki Formation sandstone and mudstone (Tolaga Group),Well bedded alternating sandstone and mudstone with interbedded olistostrome deposits.,sandstone,Neogene sedimentary rocks,Tolaga Group,Miw,19_undifSed
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS4 (Late Pleistocene) river deposits,Weathered  poorly to moderately sorted gravel with loess  sand and silt.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,05_alluvial
Middle Pleistocene fan  river and lake deposits,Weathered  poorly sorted loess covered fan gravel  alluvial gravel and lacustrine silt deposits  including Ahiaruhe Formation.,gravel,Middle Pleistocene river and lake deposits,Middle Pleistocene sediments,mQa,05_alluvial
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Glenburn Formation sandstone (Mangapurupuru Group),Well bedded alternating sandstone  mudstone and argillite.,sandstone,Late Cretaceous sedimentary rocks,Mangapurupuru Group,Kb,19_undifSed
Whangai Formation (Tinui Group),Rusty weathered mudstone with minor greensand and glauconitic sandstone.,mudstone,Late Cretaceous   Paleogene sedimentary rocks,Tinui Group,Kiw,19_undifSed
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Whangai Formation (Tinui Group),Rusty weathered mudstone with minor greensand and glauconitic sandstone.,mudstone,Late Cretaceous   Paleogene sedimentary rocks,Tinui Group,Kiw,19_undifSed
Springhill Formation mudstone (Mangapurupuru Group),Fossiliferous mudstone dominated unit.,mudstone,Early Cretaceous sedimentary rocks,Mangapurupuru Group,Kns,19_undifSed
OIS4 (Late Pleistocene) river deposits,Weathered  poorly sorted to moderately sorted gravel underlying loess covered  commonly eroded aggradational surfaces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,05_alluvial
Middle Pleistocene fan  river and lake deposits,Weathered  poorly sorted loess covered fan gravel  alluvial gravel and lacustrine silt deposits  including Ahiaruhe Formation.,gravel,Middle Pleistocene river and lake deposits,Middle Pleistocene sediments,mQa,05_alluvial
