File Name,Layer,Start Depth,End Depth,Depth,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),Ic_calculated (Geometric Mean)
SCPT_57342.csv,1,0.06,1.06,0.56,82.0,1.0199999999999996,6.166228347287505,0.05877397936545225,0.0011879916233356116,121.79086304460701,148.2671376195215,337.35970707373673,125.18609999469697,134.86332540992075,72.94999087690549,153.9895336797377,1.8731927158162356,1.8731531939525066
SCPT_57342.csv,2,1.08,1.9,1.49,91.0,0.8399999999999994,2.0053932042811313,0.08431213275136874,0.01753727315263049,125.13853360164379,152.34256264547932,246.13446360980356,151.03755861534955,232.36440532760062,88.44875833184858,215.02435207549087,2.6835835722546735,2.6820892637692064
SCPT_57342.csv,3,1.92,4.94,3.43,92.0,3.04,2.4358039979084425,0.017075157337700826,0.01946523984950069,122.25360446311099,148.83047499856994,287.0902963304843,132.97820488735536,122.09748158502835,99.85814393828268,214.89552027509222,2.1550070719736376,2.1528941986856673
SCPT_57342.csv,4,4.96,6.72,5.84,148.0,1.7799999999999994,8.591677045304442,0.0515954142319448,0.022573891783029227,176.070788190779,214.34704649312198,492.4295139600256,191.87155544126352,182.4396870020079,153.4843037912446,288.7922750920785,1.7206025910581448,1.7203985047876935
SCPT_57342.csv,5,6.74,7.3,7.02,150.0,0.5799999999999992,4.847907048627705,0.04041181237732555,0.03300338965449178,167.03203050336344,203.34334148235592,403.2318486131853,177.97044897221886,176.2128408160728,145.92349797245055,292.126528993869,2.02793443392989,2.0278814100363842
SCPT_57342.csv,6,7.32,9.16,8.24,144.0,1.8599999999999994,9.439580301755452,0.05676358692887241,0.057289505167661604,193.7580158988302,235.8793237029238,528.418263726338,203.80792346869396,192.76028803544736,172.65107666241224,319.3735347424752,1.7497144770882174,1.749776186704538
SCPT_57342.csv,7,9.18,10.88,10.030000000000001,212.0,1.7200000000000006,15.966047243389092,0.11361349120321898,0.05561140605313137,231.7634564225058,282.14681651435524,659.0204658237674,247.55924771613422,256.78069620714075,208.39742509742985,368.8616700741992,1.6499391404243358,1.6504465542979825
SCPT_57342.csv,8,10.9,11.38,11.14,137.0,0.5,2.0685770452412053,0.030407462126619943,0.1546812426350008,162.32117849972028,197.60839121705104,311.8128864524978,159.70668543277932,172.37207586573587,143.34609484737493,314.438627917852,2.6017974483648043,2.621613427134451
SCPT_57342.csv,9,11.4,11.88,11.64,159.5,0.5,0.7979261607784691,0.016445058976886147,0.3356487808796204,136.81111325468697,166.55265961440128,230.2000699372291,129.2178599712895,139.54746089014535,120.21455507499155,291.4718079954135,3.03966184436617,3.120411030269653
SCPT_57342.csv,10,11.9,12.94,12.42,172.5,1.0599999999999987,9.75940686078115,0.08635898144070271,0.05973136587550834,224.72524770096229,273.5785624185626,558.14162232398,226.820128078032,236.2230255993318,201.43617841419135,374.43882627643194,1.915934648591357,1.9169168367620724
SCPT_57342.csv,11,12.96,14.08,13.52,239.0,1.1399999999999988,13.723086970511655,0.10813078457538568,0.07740350808447481,243.78314677178875,296.77948302652527,640.9746831974896,247.28282817216507,255.98634332490374,220.70106392763057,394.90702603596276,1.7870293234259422,1.787868315510211
SCPT_57342.csv,12,14.1,15.42,14.76,247.5,1.3399999999999999,19.480260533632908,0.17581942482354182,0.11310744263648442,274.0529415268419,333.62966794572037,739.0383861403024,283.3064581697631,317.54355371391716,247.64213873715076,431.2236264307331,1.7253012733339046,1.726024542237888
SCPT_57342.csv,13,15.44,20.0,17.72,245.0,4.58,24.684891268215736,0.22817059048468624,0.11962437045467283,302.9445332796611,368.8020405143701,823.528386648499,310.5159916334307,356.7847997856878,275.29519415172314,467.7259253366712,1.6960330100048346,1.6967275695824187
