Depth,qc,fs,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
0.03,0.2482,0.0006,0.2482,0.0006,0.0004,36.48804610896942,44.42023004570191,75.51677366334232,22.80555933196315,16.077842652566535,14.719584177143446,41.58652467758872,2.908742642473883,95.0
0.04,0.3879,0.0013,0.3879,0.0013,0.0011,42.91798619154265,52.2479831897041,92.15684753219992,27.78470044323501,20.49380433900633,18.131070521186047,49.61923855229515,2.7540761495206403,95.0
0.05,0.384,0.0025,0.384,0.0025,0.0077,45.37235526584374,55.23591075841846,93.96946905970194,31.07045515972884,25.45162115095008,20.33781072561265,57.15515655754837,2.848189067537396,95.0
0.06,0.5973,0.0051,0.5973,0.0051,0.0,52.905282547508094,64.40643092740116,113.10605805613464,37.40677842749127,32.909330065759605,24.190448329365605,65.88096762874056,2.719974457788933,95.0
0.07,0.9619,0.0074,0.9619,0.0074,-0.0002,60.57266903538628,73.74064056481808,137.77078579208555,43.426511461785246,38.22357639866296,27.89150956000635,72.1514136454076,2.5135732622575,95.0
0.08,1.5321,0.0097,1.5321,0.0097,-0.0003,68.11341483026197,82.92067892379718,166.77185743423016,49.50082815995896,42.73070351413413,31.6563061632988,77.56985367472804,2.2946786488530657,95.0
0.09,1.9742,0.0097,1.9742,0.0097,-0.0004,71.91622207028375,87.55018338991066,185.8858759863328,52.86751514647285,43.726548572806486,33.926231391006965,80.06622086564155,2.1475852476501585,95.0
0.1,2.1798,0.0116,2.1798,0.0116,-0.0004,75.00827512805394,91.31442189502218,195.0799913302336,56.32980499121352,47.63888840556279,35.96663714263079,84.22549600100668,2.123927873052897,95.0
0.11,2.3001,0.0116,2.3001,0.0116,-0.0005,76.48721274705441,93.11486769206626,201.01183220579964,58.21877999712876,48.78729370933032,37.219156801131945,86.31545596716576,2.092696802576711,95.0
0.12,2.3311,0.0117,2.3311,0.0117,-0.0005,77.52011505378022,94.37231397851504,203.79043672406976,59.7704918106243,50.06899387016197,38.23124192965562,88.34393169587203,2.086593131649187,95.0
0.13,2.3854,0.0117,2.3854,0.0117,-0.0006,78.54738969243336,95.62290919078843,207.22597877760828,61.25458999330212,51.11226789723912,39.22132998776675,90.1665678075268,2.0732440042654465,95.0
0.14,2.4048,0.015,2.4048,0.015,-0.0006,81.09549931755006,98.72495569093051,209.39886679099715,64.56131221866553,56.96118555037536,40.91969256457765,94.8947085834112,2.1181349061064383,95.0
0.15,2.4203,0.0149,2.4203,0.0149,-0.0006,81.81863275830855,99.60529205359305,211.3521194417296,65.77025259728123,57.86885170667606,41.72754346806767,96.4863085041761,2.112995666864516,95.0
0.16,2.4242,0.0154,2.4242,0.0154,-0.0006,82.74137445378956,100.72862976983076,212.8377090054288,67.2284476514517,59.60680634369104,42.60938387050845,98.49759153193604,2.118972354806063,95.0
0.17,2.4281,0.0168,2.4281,0.0168,-0.0006,84.05012696362998,102.3218936948539,214.25049580135223,69.15476656013647,62.61925831615397,43.657783158963504,101.1589963304096,2.136566383110436,95.0
0.18,2.4746,0.0168,2.4746,0.0168,-0.0006,84.87639417435716,103.3277842122609,217.0334133302376,70.3901006195532,63.51750802374075,44.47838103874315,102.646901169037,2.125354600861788,95.0
0.19,2.5192,0.0183,2.5192,0.0183,-0.0008,86.3489772500279,105.12049404351224,219.69100724173356,72.42806343851178,66.55537586529246,45.59073415580513,105.237955360733,2.133401662530926,95.0
0.2,2.5638,0.0199,2.5638,0.0199,-0.001,87.81252496964673,106.90220431087428,222.29350286799104,74.46959405522604,69.6921730740397,46.6861739401972,107.79459543560776,2.141652563950025,95.0
0.21,2.6453,0.0228,2.6453,0.0228,-0.0006,89.91961602983514,109.46735864501667,226.05875779374423,77.25853903963065,74.50469628545522,48.07726673980323,111.10640140681816,2.154107953519028,95.0
0.22,2.7267,0.025,2.7267,0.025,-0.0011,91.66494171254642,111.59210295440434,229.7438802821954,79.61263989182532,78.2635242216358,49.29151068105104,113.80166371325876,2.157647051040789,95.0
0.23,2.7655,0.0277,2.7655,0.0277,-0.0011,93.32343511322924,113.61113839871386,232.0061028472954,81.99214234798366,82.70614363293875,50.43353265362372,116.6456084954884,2.1738848130533905,95.0
0.24,2.8314,0.0277,2.8314,0.0277,-0.0012,94.13019416514696,114.5932798532224,235.0906595861504,83.17691602021569,83.5166965393759,51.2071429895006,117.92893557623988,2.1597008983502834,95.0
0.25,2.8314,0.0312,2.8314,0.0312,-0.0013,95.78297201587093,116.60535723671244,236.04206698261757,85.68864157403289,89.00546230269829,52.30559581403501,121.01061940107238,2.189138033413273,95.0
0.26,2.8935,0.0339,2.8935,0.0339,-0.0014,97.3955686928222,118.56851840865312,238.93195340205963,87.99259766403483,93.23377190644058,53.41115515054517,123.5630179163599,2.196988161937193,95.0
0.27,2.9866,0.0391,2.9866,0.0391,-0.0014,99.81104422769866,121.50909732067664,242.74552120432256,91.34696252568745,100.35634160781746,54.86724034536073,127.11420231327592,2.214663767931251,95.0
0.28,3.0913,0.0423,3.0913,0.0423,-0.0015,101.62805401536492,123.7211092360964,246.8485738307544,93.85977147019048,104.88545650706725,56.065323496926,129.6408976964888,2.2144750154489383,95.0
0.29,3.2232,0.0462,3.2232,0.0462,-0.0016,103.69165953786457,126.23332465479164,251.6928262310765,96.66457976007938,110.0682457147307,57.37505502181183,132.3461254239027,2.21264814068073,95.0
0.3,3.3783,0.0462,3.3783,0.0462,-0.0014,104.8248849885649,127.6129034643399,257.11535334307564,98.0960000751751,110.63482315519356,58.31165375948251,133.5325850151187,2.183953415270446,95.0
0.31,3.3783,0.0506,3.3783,0.0506,-0.0016,106.34087709029394,129.45845906644482,257.95024697631527,100.55316361263912,116.69100035044092,59.29163268857916,136.24676455937976,2.20875138057944,95.0
0.32,3.5684,0.0569,3.5684,0.0569,-0.0026,109.0500350079336,132.7565643574844,264.2257385336672,104.19727796460111,124.14090424284844,60.88075414561538,139.51329588583948,2.2078196543347697,95.0
0.33,3.7662,0.065,3.7662,0.065,-0.002,112.03854549094568,136.39475103245562,270.554388879019,108.2895546123869,133.2521805624495,62.570063175986014,143.11468650172793,2.212413634943745,95.0
