Layer,Start Depth,End Depth,Thickness,qc (Geometric Mean),fs (Geometric Mean),u (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.0,1.389999,1.389999,4.973775852330226,0.03501797933368345,0.0001742598520092052,1.8634109275526105
2,1.399999,3.419997,2.019998,0.5021756992004943,0.013320925132383884,0.019882108798912588,3.06283052908329
3,3.429997,5.88004,2.450043,0.7959881454258679,0.003171099363201998,0.021591557328969238,2.5107205527385688
4,5.89004,7.21007,1.32003,2.091795753202941,0.0029420055402621915,0.025632081320562498,2.09147745832556
5,7.22007,8.340096,1.120026000000001,4.499292865616215,0.007820312101978928,0.048103659009561386,1.7851216442227353
6,8.350096,10.13014,1.7800440000000002,14.93784186025278,0.1260770922972137,0.0032412155662070925,1.680218976091872
7,10.14014,11.86018,1.7200399999999991,11.84365382711764,0.09194892928669453,0.01654352128283725,1.7695622489653042
8,11.87018,12.8602,0.9900200000000012,7.570994240692813,0.059130118106362047,0.02457834741702066,1.9633112612216652
9,12.8702,13.86022,0.9900199999999995,13.024645830665152,0.10963498825746039,0.08296611721537264,1.7999876780242445
10,13.87022,15.07025,1.20003,8.136320900978447,0.08845223408472454,0.12924022983064842,2.040139103234768
11,15.08025,16.97029,1.890039999999999,2.412792607986821,0.034340224510554275,0.8991557421081918,2.6174565178814544
12,16.98029,17.97032,0.9900300000000009,3.3678861528399584,0.019051160590918995,0.26645952252257143,2.2908789009751604
13,17.98032,18.97034,0.9900200000000012,1.8072404444542827,0.011861641568495687,0.8479653760027936,2.6542165892399785
14,18.98034,21.14039,2.1600499999999982,2.7551411227057776,0.014717794587324686,0.6272415560667192,2.4416054488813885
15,21.15039,22.34042,1.1900300000000001,12.356148900181173,0.057317034169339254,0.06167692534806532,1.7832485175722046
16,22.35042,23.41044,1.0600200000000015,4.024960359555361,0.0392904606794497,0.11851282658470487,2.4758181958664967
17,23.42044,24.50047,1.0800300000000007,1.9543089572229009,0.012304440458826237,0.26906240804862436,2.7720266324321217
