File Name,Layer,Start Depth,End Depth,Depth,Measured Vs,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean),Depth_vs
SDMT_122141_raw_result_layers_stats.csv,1,0.02,1.01,0.515,186,1.5,0.99,1.3073218867371763,0.0082654520960841,0.0050276621722924,79.0523466189779,96.237639362234,183.86793440994404,57.64939476681052,51.39239172533272,47.691245008510286,113.86773662995964,2.328496457525508,1.5
SDMT_122141_raw_result_layers_stats.csv,2,1.02,3.33,2.175,223,2.0,2.31,5.269967521673944,0.0116585527484945,0.0242514158067214,120.5848241145126,146.79891631331958,369.1187513807788,109.20620388906532,80.91000004681662,94.80073316679274,182.48042198051428,1.6144825541296215,2.0
SDMT_122141_raw_result_layers_stats.csv,3,3.34,4.44,3.89,166,4.0,1.1000000000000003,8.371684386746054,0.0211517544964242,0.0372196777479092,142.743732123895,173.77497823778558,468.6613317607696,147.20763033404685,113.44104063315446,126.85293406580072,232.0415799664808,1.4904616663042554,4.0
SDMT_122141_raw_result_layers_stats.csv,4,4.45,6.01,5.23,140,5.0,1.5599999999999996,0.8473182488226292,0.00975686520395,0.0877550344657377,107.09390590522132,130.3751897976608,203.1322580796803,108.5721896948802,110.98534639232858,92.86591556501293,222.3326288411737,2.7286725320078737,5.0
SDMT_122141_raw_result_layers_stats.csv,5,6.02,7.25,6.635,151,6.5,1.2300000000000004,1.7188378048102058,0.024341633142986,0.2528994697557171,132.04193269618742,160.7467006736194,272.884891461457,141.21724100309217,153.0841659950072,118.59170101418,267.48005160789893,2.454693192225669,6.5
SDMT_122141_raw_result_layers_stats.csv,6,7.26,8.25,7.755,179,8.0,0.9900000000000002,6.717600686277717,0.0201103774847638,0.0601596479981884,158.86784839957346,193.40433718208968,461.81739586648416,162.1645256046399,128.6365560572183,148.36810206218726,274.2292351108905,1.6723816070426032,8.0
SDMT_122141_raw_result_layers_stats.csv,7,8.26,9.25,8.754999999999999,202,9.0,0.9900000000000002,2.3857421331371134,0.0154073390906789,0.1450200987393166,141.82850861559115,172.66079309724162,317.9031610058624,144.25637501103716,131.39825668745402,129.3178640888675,271.0752005024874,2.2464465173945904,9.0
SDMT_122141_raw_result_layers_stats.csv,8,9.26,10.95,10.105,150,10.0,1.6899999999999995,1.53994185188145,0.0356689832098762,0.4240822060769186,147.28443155244238,179.30278623775584,276.49537074471306,157.64033473808095,191.96098722971144,135.4493720504164,312.4373351070153,2.7250024530193127,10.0
SDMT_122141_raw_result_layers_stats.csv,9,10.96,11.95,11.455,125,11.5,0.9899999999999984,0.7375750337503413,0.0064306189095059,0.4131045732444059,119.92801703131204,145.9993250815973,214.3906028631793,111.89043065759546,102.01972827100462,109.45337993421025,256.7705633136748,2.8936436526205007,11.5
SDMT_122141_raw_result_layers_stats.csv,10,11.96,13.61,12.785,122,13.0,1.6499999999999986,0.901389634360082,0.0042656671758736,0.58567395314903,125.17747214730142,152.38996609236713,235.47125242419577,110.65241777582156,89.44149772459221,112.25147125741508,250.6354072566984,2.717797807686043,13.0
SDMT_122141_raw_result_layers_stats.csv,11,13.62,14.61,14.114999999999998,161,14.0,0.9900000000000002,2.235979320428452,0.0113226266897343,0.3909210044583568,154.66645812886622,188.2896012003588,327.747293874595,140.6756604916721,117.9281769965677,142.6280120430649,293.7685024907881,2.3490344277571,14.0
SDMT_122141_raw_result_layers_stats.csv,12,14.62,15.61,15.114999999999998,216,15.0,0.9900000000000002,2.090237298400444,0.0179677989200326,0.3610025338045337,161.98585144513052,197.2001669766807,321.12722386462514,148.2233931759516,140.2284120297771,149.5899803861043,317.2369426406034,2.5223265252307288,15.0
SDMT_122141_raw_result_layers_stats.csv,13,15.62,16.72,16.169999999999998,189,16.0,1.0999999999999996,4.324602841952075,0.0308119231198923,0.0583307838304926,188.8466001942779,229.90020893216428,419.8750954107008,174.66277500221898,162.65985384477273,176.9927245987666,348.001613820132,2.197518368668012,16.0
SDMT_122141_raw_result_layers_stats.csv,14,16.73,19.3,18.015,183,18.0,2.5700000000000003,5.756203370990555,0.0216029592143984,0.119969831768021,195.63563999626749,238.1651269519777,473.5183157068428,176.09619086573093,143.5541200103728,184.5036725353769,342.1786519229628,1.9871129302888615,18.0
SDMT_122141_raw_result_layers_stats.csv,15,19.31,20.72,20.015,222,20.0,1.41,4.297668227117488,0.0933510421248978,0.6098962695199344,224.66223049973507,273.5018458257646,433.050399134339,207.88481774836865,259.1670803521582,205.71917571338747,424.2101784373542,2.5464955590152245,20.0
SDMT_122141_raw_result_layers_stats.csv,16,20.73,21.72,21.225,338,21.0,0.9899999999999984,12.763493825364282,0.1053742041609115,0.0485643841064071,259.43302611769894,315.83151005632953,651.7656736460758,249.1080922692813,262.1938597852642,247.0682174653972,440.9422308079637,1.8727341570857687,21.0
SDMT_122141_raw_result_layers_stats.csv,17,21.73,23.0,22.365000000000002,223,22.5,1.2699999999999996,11.129638665850752,0.1742084903099188,0.0399081868126961,279.67235178038726,340.4706891239495,621.4820599240938,264.66933218494336,331.54696672967003,256.2615942768328,476.50631443522457,2.142164024168199,22.5
